회사명,회사의종류,리뷰어분야,직원여부,지역,날짜,제목,좋은점,나쁜점,희망사항(경영진에게),성장,추천,승진기회가능성점수,복지급여점수,업무와 삶의 균형 점수,사내문화점수,경영진점수
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 11,"전체적으로 성장형 기업으로 보여지나, 사실상 성장하는사람이 도태될수밖에없는구조의 기업",복지가 월등하게 좋고 시설적인 청결도 또한 깨끗하게 유지하여 근무하는데에는 좋은 환경을 구축,기존에 있는 사람들의 텃새나 업무프로세스를 잘안다는 자부심으로 굉장한 불이익을줌,회사관리좀 잘해주셨으면 좋겠고 고여있는 직원들오인해서 신입들이클수가없어요,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,20,100,40,60,40
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 11,"부바부, 케바케겠지만 성장 보단 소모품으로 쓰이기 바빴던 느낌","법정 휴무 보장, 출퇴근이 용이한 사무실 위치 등등..","급여, 업계 전망, 불안정한 커리어, 외부에서의 시각 등","더 나은 근무 환경, 발전 기회를 보여줄 수 있으면",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,40,40,60,40,40
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 11,사람은 좋은데 업무랑 고객이 빡센 곳,"사람은 진짜 좋음친절하게 알려주고 도와주고 기업 내 문화나 시설, 위치는 좋음",주말에 못 쉬고 로테이션임CS업무인 만큼 고객중에 이상한 사람 좀 있고 급여가 적음,업종 특성이 그런걸 어쩌겠습니까저는 탈출했으니 힘내십쇼,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,80,40,60,100,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 11,워라밸 즐기며 다니기 매우 좋은 곳이었음,개인적으로 일함 괜한 텃세 많이 없음 안마 의자 있어서 피곤할 때 그냥 자도 됨 업무적으로 다른 센터들보다 훨씬 널널함,일을 모르는 사람이 상사랍시고 머무는 게 이해가 안 됩니다,윗물이 맑아야 아랫물이 맑습니다 분발하세요,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,40,60,100,60,80
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 10,이것저것 능력(언어)따라 추가되는게 없다면 월급이 너무적다,대체적으로 교육이 체계적으로 되어 있다 프로젝트마다 상이하겠지만 내가 있었던 곳은 칼퇴가능이었다,이것도 프로젝트마다 상이하겠지만 내가 있었던 곳은 월급이 너무 적었다.. 최저시급보다 조금 더 많은 정도..,더 책임감 가지고 일할 수 있게 기본급 올려주세요,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,80,40,80,40,40
콘센트릭스서비스코리아,IT/웹/통신,디자인,현직원,서울,2023. 10,바쁜 팀은 바쁘고 한가한 팀은 한가한 회사. 글로벌 회사이고 다양한 프로젝트 경험하고싶을 땐 괜찮음,"연차, 출퇴근 눈치 안보이고 친목말고 일만 하며 다니고싶으면 괜찮음",연봉테이블이 따로 없어서 나보다 직급 낮지만 더 많이 받을 수 있다는 불투명성,"연봉테이블이 있으면 좋겠고, 프로젝트 투입시 의견을 물어봐줬으면 좋겠음",이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천하지 않습니다.,80,60,100,80,60
콘센트릭스서비스코리아,IT/웹/통신,데이터,전직원,서울,2023. 10,기준도 없는 회사라고 생각함. 그냥 스쳐지나갈 회사임,주위사람/윗사람 눈치 안보고 칼퇴근 가능한 분위기가 좋았다.,기준이 없다. 일을 잘하고 못하고도 상관없다. 그냥 임원진이 예뻐하면 다 됨. 절대 안짤림,기준에 맞는 일관성 있는 관리를 좀 제대로 해주길,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,40,60,80,20,20
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,전직원,서울,2023. 10,딱히 이렇다 할 장점이 있는 회사인지 모르겠다,"아무래도 외국계 기업이다보니 크게 터치가 없고, 각자 할일만 잘 하면 되는 곳이다.","월루가 많다, 경영진은 뭘 하는지 모르겠다, 복지가 딱히 없다",회사가 발전할 수 있도록 더 좋은 인력들을 채용해주세요. 지금은 좀 바뀌었으려나 모르겠네요,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,40,60,60,60
콘센트릭스서비스코리아,IT/웹/통신,개발,전직원,서울,2023. 10,진짜 외국계기업 이름빌린 한국계같은 회사,많이 성장하고있고 엄청 큰 규모의 프로젝트 경험을 쌓을수 있어서 좋긴하다.사람들도 실력있는 사람들도 꽤잇다그리고 사내 문화? 같은건 좋다 시설이라던지그리고 재택근무가 있어서 너무 좋다,"사내정치도 심하고 끼리끼리 문화도 심하고,뒷담이 특히 너무 심하다, 그리고 앞과 뒤가 다르다.그외는 뭐 평범하다그리고 특히 케바케이긴하지만 차장 부장이 문제가 많다...대리 과장 급들은 너무 좋고 하지만..",직원들의 의견을 수용할줄 아셨음 좋겠다,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,20,40,80,80,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,현직원,서울,2023. 09,"Catalyst의 경우에는 보통 특정 기술을 요하는 직무가 많다보니, 잘 모르겠습니다. CX팀 기준으로는, 부바부 프바프겠지만 CRM 업무 기초를 다지고 디벨롭하기에는 성장성이나 기회가 나쁘지 않은 회사입니다.추후 인하우스/벤더 등 이직에 많은 도움이 될 수 있습니다.ㅇ","복지가 강한 편은 아니지만 외국계 회사이다보니 대부분 부서는 수평적인 근로 문화를 지향하는 편이고, 능력과는 별도로 조직 문화 자체는 여유로운 편이에요.","일단 경험하기 나쁜 회사는 아니지만, CX 기준 성장 및 디벨롭하는 단계에선 업계 표준 연봉이 높은 편은 아닙니다.프로젝트마다 너무 다르긴 하지만, 대부분 워라밸도 애매한 편입니다.",직원 성과에 대한 합리적인 보상 체계가 구축되었으면 좋겠음.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천하지 않습니다.,60,60,40,60,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 09,영화나 드라마에 나올법한 악덕회사전산에 문제 생겨도 담당자 개인의 잘못으로 치환시켜서 덤탱이 씌움,다들 떠날 생각이라 그런지 서로에게 프리함물론 낭중지추라고 중간중간 인재들 있긴 함인재들은 확실히 일 잘함,윗선에 딱 올라가면 상당히 편한 것 같음그래서 그 윗선놓기 싫어서 정치벌이는게 보임돈 조금 줌복지 제로휴게실도 부족함문제 생기면 신입인력으로 메꾸려는게 보이는데 기존 상담사들 그러다 다 퇴사할듯,퇴사한 마당에 이런 말 하는게 웃기지만복지 정책이 있으면 좋겠습니다.,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,100,20,100,100,20
콘센트릭스서비스코리아,IT/웹/통신,미디어/홍보,전직원,서울,2023. 09,"비전문 리더들과 시스템의 실종, 그리고 대혼란",사무실 위치가 좋음. 휴가 사용 자유로움. 비교적 큰 규모의 프로젝트가 많음,"어디서 부터 말해야 할까.. 부서가 다양한 회사라 케바케가 크겠지만일단 본인이 몸담았던 부서로 한정하면, 리더(임원급)의 전문성이 크지 않다.모든 문제가 여기서 촉발된거 같은데... 그래서 팀장급 인력 배치가 엉망이고  (난 여기 왜 온거지? 난 이 분야 사람이 아닌데..)그래서 업무 프로세스 우왕좌왕이 되고 (뭐지? 이렇게 진행한다고?)그래서 당연히 퀄리티도 좋지 않다 성과가 좋지 않으니... 그 이후 생기는 문제는 다들 아실거라 생각함",큰 가치를 가지고 경영해달라는건 무리겠지요..그래도 너무 대충 하시는건 아닌가요;;,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,40,40,40,20,20
콘센트릭스서비스코리아,IT/웹/통신,영업/제휴,현직원,서울,2023. 09,폐쇄적인 분위기이긴 하나 재택근무지원 및기계 지원 가능함,윗사람 눈치 안보고 연차쓸수있음. 수평적인 분위기라 다들 으쌰으쌰함,복지제도가 너무 짠 느낌. 고객사마다 다른 분위기가 강함,고객사에게 너무 을로 있지않고 진취적으로 계약하면 좋을 것 같음,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,60,40,80,80,40
콘센트릭스서비스코리아,IT/웹/통신,개발,현직원,서울,2023. 09,부바부 팀바팀이 있는듯. 자유로운 분위기와 자유로운 복장. 자율좌석제도,회사 위치가 좋음. 팀바팀으로 돌아가지만 부서별로 자유롭게 일하는 분위기,"좌율좌석이 불편함. 결재시스템이 불편하고, 회사에 대한 정보를 찾기가 좀 불편함","복지를 좀 늘려주세요,,,,글로벌 사이즈에 비해 좀 빈약한 복지가 아쉬움.",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,60,100,60,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 09,"돈 버는데 많은 도움이 됐음, 조용히 다니고 싶어한다면 최고인 듯, 관리자 별로 안맞음 빠른 퇴사가 가능한 곳, 버티면 일 많이 시키고 돈도 더 벌수 있음, 시간제라서 일 많다고 해서 안좋은 건 아님, 배울게 많음","월급 따박따박 잘 나옴, 형식상 직원들을 챙기려는 규율이 보임, 피드백 할 수 있는 시스템, 재택근무로 반려견 있는 분들 좋음","관리자가 비상식적으로 하더라도 참아야 함, 승진기회는 계속 있지만 올라갈 수록 보수적인 시스템, 겉으론 수평적이라고 하지만 내부적으론 챙겨줄 사람만 챙겨줄 수 밖에 없음, 재택근무로 인해 동료들과 대면 하지 못해 서로 잘 모름","불만 들어주려는 건 알겠는데 ,,, 방어하려고만 하니,, 시스템은 형식적, 개선 될 수 없는 구조, 어차피 스태프로 들어가지 못하면 회사가 아닌 알바로 끝나는 시스템",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,40,60,80,40,40
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 09,계약직들이 많아 정규직이 더 필요한 기업으로 판단됨,"정규직으로 계신분들이 많은 도움을 주시는게 장점입니다. 그리고 지하철과의 거리가 가까워 교통에 용이한편입니다,",계약직들만 잔뜩 있고 교육으로만 실무를 감당하기엔 다소 어렵습니다.정규직분들이 더 많고 계약직이 좀 더 적었다면 밸런스가 맞았을텐데 그건 아쉽네요,지금은 다르겠지만 계약직 사원보단 정규직으로 더 관리를 용이하게 하는게 좋을거 같다는 판단입니다. 또한 상급자들의 쉬지않는 피드백은 오히려 사기를 저하시키기 때문에 일정 규칙을 더 정했으면 합니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,40,80,80,40
콘센트릭스서비스코리아,IT/웹/통신,데이터,현직원,서울,2023. 09,외국계 기업이라는 타이틀에 안주하며 발전을 생각하지 않는 회사,능력 및 경력대비 빠른 진급을 기대할 수 있습니다. 직원들의 능력 개발을 위한 주기적인 교육을 진행합니다. 외국계 기업이기에 영어 사용 기회가 많아 익숙해 지는데 도움이 됩니다.,"딱히 남들에게 내세울 수 있는 ""복지""가 없습니다(기본적인 것). 아무것도 모르고 못해도 아부를 잘하면 진급 되어 근속/직급 대비 무능력한 사람이 의외로 많습니다. 명확한 평가 제도가 없기에 잘되면 그만 아니면 그만 이라는 모습이 자주 보여집니다. 타팀과의 협업을 떠나 같은 팀내에서도 의사소통이 제대로 이뤄지지 않아 업무를 하기 힘듭니다.","""복지""라는게 많은 돈을 써서 직원들을 하는게 아닌, ""같이 일하는데 좋은 사람"", ""일하기 좋은 분위기""를 만드는게 복지라고 생각해 주시기 바랍니다.",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,60,60,20,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 09,사과 제품에 관심 있는 자들은 즐거워 할 만한 곳,"교육이 있는 곳, 적성에 맞는다면 다니기 편할 수 있음, 나름 좋은 팀장 있음, 진상 고객이 있으나 타 콜센터에 비해 많지 않음 단 강도는.., 연차 사용 가능","스케쥴 근무나 연차 사용이 제약 조건 있을 수 있음, 전문적이지는 않음, 진상 고객들이 다소 퀄리티(?)가 있음.",장기근속 근무자들 비율을 높이도록 개선해보시기 바람,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,40,40,60,60
콘센트릭스서비스코리아,IT/웹/통신,마케팅/시장조사,현직원,서울,2023. 09,능력만 있으면 크게 스트레스 받지 않고 워라벨을 지키며 다닐수 있는 회사,연차 눈치 안봄.. 쉬는 시간 자유  야근 별로 없음 회식별로 없음,연봉 높지 않음 대표적인 복지 없음 약간 외국게면서 꼰대 문화 있음,많이 퇴사 하는걸 걱정하지 말고 안나갈수 있게 다양한 복지와 연봉을 높여주세요,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,80,60,80,80,40
콘센트릭스서비스코리아,IT/웹/통신,마케팅/시장조사,현직원,서울,2023. 09,팀바팀 프바프 사바사인 곳인 것 같습니다좋은 분들과 일할 수 있어서 감사해요,다양한 프로젝트들을 경험할 수 있습니다.외국계 기업이라 영어교육비 지원이 있어요,프로젝트별로 허수가 있는 곳들이 있습니다.업무의 체계가 잘 잡혀져 있지 않은 프로젝트들이 있는 것 같아요,직원들의 이야기를 좀 더 귀기울여 잘 들어주셨으면 좋겠습니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,60,60,60,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 08,자기 할일만 잘한다면 문제 될게 없는 곳. 간섭도 적고 중간중간 선물도 많이 줌.,"연차 눈치 안 보고, 할 일만 딱 마무리 잘한다면 문제될 게 없습니다.",발전 가능성은 없어 보입니다. 딱 그만큼의 급여와 그만큼의 일하는 할당량 이외에 신경쓸 것은 없습니다.,지금처럼 잘 유지해주시기 바랍니다. 더 바랄 게 없습니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,40,60,60,60,60
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,전직원,서울,2023. 08,답이 안 나오는 회사. 웹 기획 인력이 버틸 수 없는 곳.,"퇴근할 때 눈치 안 보이고, 연차 15일이고, 맡은 일만 잘 해내면 되는 등 기본적인 것 외에 장점이랄 것이 있을지...","일을 배울 수가 없어요. 내 자신이 소모되다가 결국 지쳐서 나가 떨어지는 느낌입니다. 역량이 안되는 회사가 일만 벌이니, 실무자들이 버틸 수가 없지요.",말 해도 모를 겁니다. 아니 안 들을 거구요. 본인들이 똑똑한 사람들이 일하는 사람들은 계속 바뀌어도 상관 없을 거에요. 원래 회사들이 그렇죠.,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,20,20,20,20,20
콘센트릭스서비스코리아,IT/웹/통신,인사/총무,현직원,서울,2023. 08,업무 범위 변경 사전 협의 없는 회사가스라이팅이 넘치는 회사,단체보험 지원쾌적한 사무실근무지 위치무료 커피 티 우유 지원,업무 범위 사전 협의 없이 변경가스라이팅 넘치고대표가 왕인 회사,제발 직원들 의견에 좀 귀 기울이길앞에서는 수평적이지만 몹시 수직적인 구조에 불편함그냥 수직적이지 왜 수평적인 척하는거지?,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,20,20,20,20,20
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,전직원,서울,2023. 08,"인력시장, 그 누구도 당신을 도와주지 않을 것임, 알아서 배우고 책임도 본인이 져야함","체계가없음, 윗직급한테 잘보이면 일안하고 적당히 시간때우고 칼퇴가능, 영어교육 한달 10만원 지원, 5월 글로벌활동비","윗직급 사람들이 책임감이 없음, 실질적인 업무는 아래 직급직원들 굴려서 처리하게하고 책임도 지게함
그리고 책임감도 없고 전문성도 떨어짐
그런데 꼴에 부장대우는 받고싶어서 아래직원들 기강잡으려고 꼰대짓은 다함
부장들끼리 뭉쳐서 자기 맘에 안드는 아래직원들 험담하고 따돌리는데 어디가서 부장대우도 못받을만한 사람들이 참 보기 안쓰러웠음
고객사갑질도 갑질인데 윗사람들은 이걸 절대로 막아주지 않음, 직장내 괴롭힘으로 신고된건이 많다고 함
열심히 일한다 싶으면 그 사람에게 의도적으로 일떠넘기기도 심하고 그 고객사 갑질도 알아서 견디라는식
그렇다고 업무적으로 도움을 주는것도 없음
연봉협상은 없다고 생각하면됨
통보형태고 딱 물가상승률 반영해서줌","사업따오고 나몰라라 니들이 알아서 해라 이런식의 경영...
본인들은 자리만 지키면 되죠?
뭐 사람이야 구하면 되니까?
근데 여기 이제 업계서 소문나서 대부분 사람들이 꺼리는거 알고있나요?",이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,20,20,20,20,20
콘센트릭스서비스코리아,IT/웹/통신,마케팅/시장조사,현직원,서울,2023. 08,겉으로는 외국계 대기업 속은 국내 중소기업,"대기업 프로젝트를 해볼 수 있음
다양한 사람들과 협업하며 자연스레 해당 업무도 어느정도 배워볼 수 있음
연차사용이 자유로움, 업무 종료 후 눈치안보고 퇴근가능","글로벌 기업이라 그런지 쓸데없는 프로세스들이 외국으로 넘어가 당장 급한 것도 딜레이 됨
입사 시, 온보딩이 어려워 고객사에게 컴플레인 먹어가며 배움
개인적으로 어려운 프로젝트도 무조건 가져와서 실무진들 갈아냄
중간관리자라는 이름때문에 업무할때 가이드가 명확하지 않아 우왕좌왕하게 됨","제발 우리회사가 가져올 수 있는 프로젝트 좀 끌어와주시길... 욕심부리지 말고, 또 실무진들 몸값 후려치지 마시고 제대로 가져오시길....",이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,40,60,60,40,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 08,좋습니다 해외분위기에서 일하는 기분입니다 감정노동이 좀 있는 편이지만 열심히하면 좋을 듯,자기개발 지원금도 주고 열심히하면 그에 따른 보상을 해줌,월급이 적어 년차가 채워지기 전까지는 열심하 하거나 버티는 수 밖에없음,좀 더 휴식 및 교대근무에 지원을 해줬으면 함 예를들어 휴식시간이 매우 적음..,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,100,60,60,60,100
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,현직원,서울,2023. 08,"Run fast, run far…away from it.",비교적 터치가 없는 편이고 명색이 외국계 기업이라 한국 특유의 꼰대 문화가 없는 편이다,"한국과 한국의 문화, 불문율에 무지한 외국인 간부들과 그 밑에서 예스맨 역할만 하는 한국인 간부들",해 봤자 듣고 발전할 사람이 없어서 안 하고 만다,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,20,20,40,40,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 08,CS 업무를 하기 전에 연수 기간이 있어서 좋았습니다.,"복지가 너무 좋았습니다.
정기적으로 쿠폰을 많이 보내줌.",CS에서 해결이 안되는 내용이 있으면 윗사람이 잘 도와주지 않음.,딱히 없는데 윗사람이 직원들을 잘 봐줬으면 해요.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,40,100,60,60,40
콘센트릭스서비스코리아,IT/웹/통신,데이터,현직원,서울,2023. 08,상여금 좀 챙겨주세요. 일하는 직원들만 갈려가면서 일 하는중,자유로운 연차 및 수평문화? 장점 뭐있나요;; 과자준다?,상여금 없음. 떡값 없음. 월급 외 아무 상여금이 없음,진짜 그러지말고 직원들 좀 잘 챙겨줘라 인재들 다 떨어져나감,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,20,80,80,20
콘센트릭스서비스코리아,IT/웹/통신,인사/총무,전직원,해외,2023. 08,콘센트릭스 말레이시아에서 근무했습니다. 부바부 팀바팀,"재택근무 가능, 자유로운 출근시간, 좋은 팀 분위기, 수평적인 문화","인수인계 및 온보딩이 부족함, 프로젝트에 따라 일이 많을때가 있음","팀바팀이지만, 입사시 인수인계가 너무 안되있어 힘들었습니다",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천 합니다!,60,60,60,80,80
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,현직원,서울,2023. 08,복지 전무함 인력 부족 실무진들만 죽어남 사내소통 일방통행 그나마 같이 일하는 사람 잘 만나면 괜찮지만 전부 퇴사 중..,동료 잘 만나면 그나마 괜찮음. 리프레쉬데이 있음. 연차 눈치 안 보고 사용 가능,복지 전무 일방적 소통재택 없어지고 퇴사자들 급증일할 사람이 없어서 남은 사람들만 고생리더급들의 부재,복지 좀 늘려주세요 인력충원 연봉인상큰 꿈을 꾸셨으면 그만큼 투자를 하셔야죠,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,20,40,20,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 08,채팅또는 유선전화로 고객응대만 해도돼서 단순업무라 적응만되면 하기쉽습니다.,다른콜센터보다는 악성민원도 적은편이고 대체적으로 고객님들도 어려운응대는없어요.,본사가 해외라그런지 계정등 피드백이 시간이소요되는편입니다.,복지가 늘어나면 좋겠어요. 지금다니는사람들이 꾸준히 더 다닐수있는건 복지와 급여입니다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,80,60,100,100,80
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,부산,2023. 08,"고객 상담을 위한 교육지침이 신속, 엄격하고 업무지침이 자주 업데이트 됨","직장 선후배간 수평적인 관계이고, 업무 체계가 확실하여 상담 전문성알 기를 수 있음. 재택근무가 가능.",재택근무이다 보니 아무래도 쉬는 시간이 많지 않고 화장실을 갈 때마다 시간 보고를 정확하게 해야한다.,"신입사원 교육을 포함한 정직원 전환 평가를 통과하기가 쉽지는 않은데 교육을 더 강화하던지, 합격 컷을 낮추던지 했으면 좋겠음",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,40,100,60,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 08,수평적 문화와 직원복지를 위해 임원들이 노력하는게 느껴짐. 같이 일하는 동료만 괜찮으면 회사 문화자체는 나쁘지 않음,"수평적 문화. 회식 강요 없음. 직원들 의견을 경청함. 복지,업무개선을 위해 노력하는게 느껴짐.","체계가 없음. 개선을 위해 노력하지만 만족할만한 복지는 부족함. 연봉이 너무 짜다. 고객사 상황에따라 업무환경,회사생활의 질이 천차만별임. 위탁업체로서의 한계는 어쩔수 없음.",고객사의 갑질로부터 직원들을 보호 할 필요가 있다.같은 회사지만 고객사에따른 업무환경의 편차를 인식하고 충분히 개선이 이루어져야 한다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,40,20,40,80,80
콘센트릭스서비스코리아,IT/웹/통신,데이터,현직원,서울,2023. 08,회사 사람들 및 분위기가 좋으며 워라벨이 어느정도 보장 되는 회사,"연차를 자유롭게 사용 가능, 커피 머신 있어 커피값을 아낄 수 있음, 본인이 성장의지만 있으면 회사에서 적극 지원","대기업이라고 분류 되지만 정작 직원 대우는 중소기업.
회사가 좋고 크다는 장점 대비 복지가 약함","복지가 있지만 정말 혜택을 볼 수 있는건 크게 없는 듯
그나마 재택 외 느껴지는 재택은 없는거 같음",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,60,60,40,40,40
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,경기,2023. 07,내 일만 열심히 할수 있으면 잘 다닐 수 있는 회사 (귀막고..),외국계 기업이다 보니 복지나 인사 체계는 잘 잡혀있음.... 코로나 전에 다양한 활동이 많았던듯,팀마다 분위기가 천차만별임 어떤 피엠을 만나느냐에 따라 근무연속이 달라질듯..,고인물.. 관리 잘해주시기를.. 한번쯤 전체적으로 사원들에게 윗사람 평가도 내리는게 조을듯 싶다.,이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,40,80,80,60,60
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,현직원,서울,2023. 07,하청 업체 느낌을 톡톡히 받을 수 있는 말 그대로의 회사,스케줄 근무제로 조금 아주 조금 유연한 근무 시간과 직원도 거의 없기에 사무실에서 혼자 근무 가능,사람도 많이 퇴사하는 마당에 월급은 더 낮아지고 말도 안되는 프로젝트 시작해서 인센티브도 더 줄여졌다. 연차도 계약시에는 2주 전에만 얘기하면 된다더니 한달에 사용 가능한 연차 개수가 있다면서 사용 개수는 0이라고 한다.,"돈을 바라보고 운영을 하는 건지, 정말 운영을 하고 싶어서 돈을 주는 건지 의문입니다. 이 회사가 누구덕에 있는 건지 잘 알고 있으면 좋겠습니다. 게다가 회사가 줄퇴사 분위기면 여기서 더 압박하는게 아니라 적어도 그대들은 떠나지 않아줘서 감사합니다 라는 마인드를 가지고 사내 분위기도 조절하는 방법을 배워주세요",이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,20,20,60,40,40
콘센트릭스서비스코리아,IT/웹/통신,기획/경영,현직원,서울,2023. 07,외국계 기업으로 한국 기업보다는 자유로운 분위기 입니다. 비교적 합리적이고 기본적인 권리를 주장할 수 있습니다.,연차를 매니저와 이야기하면 대부분 문제없이 사용가능하며 휴가를 당연하게 이해합니다. 사무실 위치가 접근성이 좋은 곳에 있어 출퇴근이 용이합니다. 재택근무가 가능한 경우가 많습니다.,업무의 경계가 모호한 경우가 있고 어카운트 변경시 그에 따라 근무지가 변경될수 있습니다. 장점이었던 재택근무를 아예 없앤다는 이야기가 나오고있습니다.,직원들의 근무 사기를 높이기 위해서 진정성있게 직원들에게 지원해줄 방법을 확인했으면 좋겠습니다. 재택 및 출퇴근유연제 같은 방법을 고려해주셨으면 합니다.,이 기업은 1년 후      성장하고 있을 것이다.,이 기업을 추천 합니다!,80,60,60,60,100
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 07,갈려나가는 계약직들 때문에 고통받는 정규직들을 쉽게 찾을 수 있는 곳.,퇴사 안 하고 그냥 버티기만 해도 다른 사람들이 퇴사하기 때문에 알아서 승진할 기회가 생기는 곳. 복지는 이것저것 챙겨줘서 나쁘지 않음.,아래 계약직들을 소모품 정도로 취급하기 때문에 관리하는 정규직들도 동시에 더 피곤해지고 강요되는건 아니지만 문제가 생길때마다 시간으로 떼워서 처리해야되는 상황이 자주 생김.,솔직히 본사 리더쉽은 답이 없고 한국 지사는 그냥 무능력함. 나이든 사람들이 나가고 능력있는 젊은 리더들이 와야되는데 능력자들은 이런 회사를 안 옴.,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,80,60,40,60,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,현직원,서울,2023. 07,말만 번지르르하고 매번 말이 바뀐다. 복지같은건 없다,안마의자 있는거 도시락먹는사람위해 공간이 잘 조성되어있다,매번 말이 달라진다. 채용공고는 사람끌어들이려고 과장해놓은 느낌이 든다,처음부터 솔직하게 말 해서 시간버리지않았으면 좋겠습니다,이 기업을 추천하지 않습니다.,이 기업을 추천하지 않습니다.,20,20,20,20,20
콘센트릭스서비스코리아,IT/웹/통신,서비스/고객지원,전직원,서울,2023. 07,그냥저냥 좋지도 나쁘지도않은 회사입니다 연봉은 좀짜요,연차를 윗사람 눈치안보고 쓸수있고 외국계회사다보니 사내 직급이 거의 없습니다 명령조로 말하지도않고 일도 같은 직군에비해 편한편입니다,연봉이 안오르고 계속 교육받으라합니다 그래야 오른다고 그리고 빨간날 못쉬는날도있고 식대지원해준다면서 월급에 포함되있다고 뻥칩니다 주차도 마찬가지,"식대지원,주차지원등등 써놨으면 좀 그대로 복지를 배풀것이지 왜 구라핑을 칩니까 그런게 많으니까 퇴사하지",이 기업은 1년 후      비슷할 것이다.,이 기업을 추천하지 않습니다.,20,40,80,60,20
